Z,Do,Linia,Numer,Odlot,Przylot,Od,Do,Dni,Samolot,Operator,Typ
KRK,FRA,LH,1365,10:30,12:10,02-12-2024,23-12-2024,1......,32A,LH,J
KRK,FRA,LH,1365,10:30,12:10,04-12-2024,18-12-2024,..3....,32A,LH,J
KRK,FRA,LH,1365,10:30,12:10,28-11-2024,19-12-2024,...4...,32A,LH,J
KRK,FRA,LH,1365,10:30,12:10,29-11-2024,20-12-2024,....5..,32A,LH,J
KRK,FRA,LH,1365,10:30,12:10,03-12-2024,17-12-2024,.2.....,320,LH,J
KRK,FRA,LH,1365,10:30,12:10,08-12-2024,22-12-2024,......7,320,LH,J
KRK,FRA,LH,1365,10:30,12:10,30-12-2024,06-01-2025,1......,32A,LH,J
KRK,FRA,LH,1365,10:30,12:10,02-01-2025,02-01-2025,...4...,32A,LH,J
KRK,FRA,LH,1365,10:30,12:10,27-12-2024,03-01-2025,....5..,32A,LH,J
KRK,FRA,LH,1365,10:30,12:10,07-01-2025,25-03-2025,.2.....,320,LH,J
KRK,FRA,LH,1365,10:30,12:10,12-01-2025,23-03-2025,......7,320,LH,J
KRK,FRA,LH,1365,10:30,12:10,13-01-2025,01-04-2025,1......,32A,LH,J
KRK,FRA,LH,1365,10:30,12:10,08-01-2025,30-03-2025,..3....,32A,LH,J
KRK,FRA,LH,1365,10:30,12:10,09-01-2025,29-03-2025,...4...,32A,LH,J
KRK,FRA,LH,1365,10:30,12:10,10-01-2025,28-03-2025,....5..,32A,LH,J
KRK,FRA,LH,1367,12:55,14:35,02-12-2024,23-12-2024,1......,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,03-12-2024,17-12-2024,.2.....,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,04-12-2024,18-12-2024,..3....,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,28-11-2024,19-12-2024,...4...,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,29-11-2024,20-12-2024,....5..,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,01-12-2024,22-12-2024,......7,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,30-12-2024,06-01-2025,1......,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,26-12-2024,02-01-2025,...4...,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,27-12-2024,03-01-2025,....5..,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,29-12-2024,05-01-2025,......7,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,13-01-2025,01-04-2025,1......,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,07-01-2025,31-03-2025,.2.....,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,08-01-2025,30-03-2025,..3....,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,09-01-2025,29-03-2025,...4...,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,10-01-2025,28-03-2025,....5..,320,LH,J
KRK,FRA,LH,1367,12:55,14:35,12-01-2025,23-03-2025,......7,320,LH,J
KRK,FRA,LH,1369,18:15,19:55,02-12-2024,27-12-2024,1......,320,LH,J
KRK,FRA,LH,1369,18:15,19:55,03-12-2024,26-12-2024,.2.....,320,LH,J
KRK,FRA,LH,1369,18:15,19:55,04-12-2024,25-12-2024,..3....,320,LH,J
KRK,FRA,LH,1369,18:15,19:55,28-11-2024,19-12-2024,...4...,320,LH,J
KRK,FRA,LH,1369,18:15,19:55,29-11-2024,20-12-2024,....5..,320,LH,J
KRK,FRA,LH,1369,18:15,19:55,30-11-2024,21-12-2024,.....6.,320,LH,J
KRK,FRA,LH,1369,18:15,19:55,01-12-2024,22-12-2024,......7,320,LH,J
KRK,FRA,LH,1369,18:15,19:55,30-12-2024,03-04-2025,1......,320,LH,J
KRK,FRA,LH,1369,18:15,19:55,31-12-2024,02-04-2025,.2.....,320,LH,J
KRK,FRA,LH,1369,18:15,19:55,01-01-2025,01-04-2025,..3....,320,LH,J
KRK,FRA,LH,1369,18:15,19:55,02-01-2025,31-03-2025,...4...,320,LH,J
