Z,Do,Linia,Numer,Odlot,Przylot,Od,Do,Dni,Samolot,Operator,Typ
KRK,ZRH,LX,1371,14:45,16:30,04-12-2024,11-12-2024,..3....,223,BT,J
KRK,ZRH,LX,1371,14:45,16:30,08-12-2024,08-12-2024,......7,223,BT,J
ZRH,KRK,LX,1370,12:20,14:00,04-12-2024,04-12-2024,..3....,223,BT,J
ZRH,KRK,LX,1370,12:20,14:00,29-11-2024,29-11-2024,....5..,223,BT,J
ZRH,KRK,LX,1370,12:20,14:00,01-12-2024,01-12-2024,......7,223,BT,J
ZRH,KRK,LX,1370,12:20,14:00,11-12-2024,11-12-2024,..3....,223,BT,J
ZRH,KRK,LX,1370,12:20,14:00,15-12-2024,08-12-2024,......7,223,BT,J
ZRH,KRK,LX,1370,12:20,14:00,18-12-2024,02-02-2025,..3....,223,BT,J
ZRH,KRK,LX,1370,12:20,14:00,20-12-2024,31-01-2025,....5..,223,BT,J
ZRH,KRK,LX,1370,12:20,14:00,07-02-2025,07-02-2025,....5..,295,2L,J
ZRH,KRK,LX,1370,12:20,14:00,09-02-2025,02-02-2025,......7,295,2L,J
ZRH,KRK,LX,1370,12:20,14:00,05-02-2025,12-02-2025,..3....,221,LX,J
ZRH,KRK,LX,1370,12:20,14:00,08-02-2025,08-02-2025,.....6.,221,LX,J
ZRH,KRK,LX,1370,12:20,14:00,21-02-2025,23-02-2025,....5..,223,BT,J
ZRH,KRK,LX,1370,12:20,14:00,22-02-2025,22-02-2025,.....6.,223,BT,J
ZRH,KRK,LX,1370,12:20,14:00,28-02-2025,02-03-2025,....5..,223,LX,J
ZRH,KRK,LX,1370,12:20,14:00,01-03-2025,01-03-2025,.....6.,223,LX,J
ZRH,KRK,LX,1370,12:20,14:00,07-03-2025,14-03-2025,....5..,295,2L,J
ZRH,KRK,LX,1370,12:20,14:00,09-03-2025,09-03-2025,......7,295,2L,J
