Z,Do,Linia,Numer,Odlot,Przylot,Od,Do,Dni,Samolot,Operator,Typ
KRK,ZRH,LX,1371,14:45,16:30,2024-10-27,2024-11-03,......7,E90,OAW,J
KRK,ZRH,LX,1371,09:45,11:30,2024-10-28,2024-10-28,1......,320,WK,J
KRK,ZRH,LX,1371,19:50,21:35,2024-10-29,2024-11-12,.2.....,223,BTI,J
KRK,ZRH,LX,1371,14:45,16:30,2024-10-30,2024-11-06,..3....,223,BTI,J
KRK,ZRH,LX,1371,19:45,21:30,2024-10-31,2024-10-31,...4...,E90,OAW,J
KRK,ZRH,LX,1371,14:45,16:35,2024-11-01,2024-11-01,....5..,221,SWR,J
KRK,ZRH,LX,1371,14:50,16:35,2024-11-02,2024-11-30,.....6.,223,BTI,J
KRK,ZRH,LX,1371,09:45,11:30,2024-11-04,2024-11-18,1......,223,BTI,J
KRK,ZRH,LX,1371,19:45,21:30,2024-11-07,2024-11-07,...4...,223,BTI,J
KRK,ZRH,LX,1371,14:45,16:35,2024-11-08,2024-11-22,....5..,223,BTI,J
KRK,ZRH,LX,1371,14:45,16:30,2024-11-13,2024-11-27,..3....,223,BTI,J
KRK,ZRH,LX,1371,14:45,16:30,2024-11-17,2024-11-24,......7,223,BTI,J
KRK,ZRH,LX,1371,19:45,21:30,2024-11-14,2024-11-14,...4...,223,SWR,J
KRK,ZRH,LX,1371,19:50,21:35,2024-11-19,2024-11-26,.2.....,223,SWR,J
KRK,ZRH,LX,1371,19:45,21:30,2024-11-21,2024-12-05,...4...,223,BTI,J
KRK,ZRH,LX,1371,09:45,11:30,2024-11-25,2024-11-25,1......,320,WK,J
KRK,ZRH,LX,1371,14:45,16:35,2024-11-29,2024-11-29,....5..,32Q,SWR,J
KRK,ZRH,LX,1371,14:45,16:30,2024-12-01,2024-12-22,......7,320,SWR,J
KRK,ZRH,LX,1371,09:45,11:30,2024-12-02,2024-12-02,1......,223,BTI,J
KRK,ZRH,LX,1371,19:50,21:35,2024-12-03,2024-12-03,.2.....,223,BTI,J
KRK,ZRH,LX,1371,14:45,16:30,2024-12-04,2024-12-18,..3....,223,BTI,J
KRK,ZRH,LX,1371,14:45,16:35,2024-12-06,2025-01-03,....5..,223,BTI,J
KRK,ZRH,LX,1371,14:50,16:35,2024-12-07,2024-12-07,.....6.,223,SWR,J
KRK,ZRH,LX,1371,09:45,11:30,2024-12-09,2024-12-09,1......,320,WK,J
KRK,ZRH,LX,1371,19:50,21:35,2024-12-10,2024-12-10,.2.....,223,SWR,J
KRK,ZRH,LX,1371,19:45,21:30,2024-12-12,2024-12-12,...4...,223,SWR,J
KRK,ZRH,LX,1371,14:50,16:35,2024-12-14,2024-12-14,.....6.,320,SWR,J
KRK,ZRH,LX,1371,09:45,11:30,2024-12-16,2024-12-16,1......,223,BTI,J
KRK,ZRH,LX,1371,19:50,21:35,2024-12-17,2025-01-07,.2.....,223,BTI,J
KRK,ZRH,LX,1371,19:45,21:30,2024-12-19,2024-12-19,...4...,32B,SWR,J
