Z,Do,Linia,Numer,Odlot,Przylot,Od,Do,Dni,Samolot,Operator,Typ
KRK,VIE,OS,598,11:05,12:05,2024-10-27,2025-03-23,......7,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2024-10-28,2024-12-23,1......,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2024-10-29,2024-12-17,.2.....,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2024-10-30,2024-12-18,..3....,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2024-10-31,2024-12-19,...4...,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2024-11-01,2024-12-20,....5..,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2024-11-02,2024-12-21,.....6.,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2024-12-30,2025-01-06,1......,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2024-12-25,2025-01-01,..3....,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2024-12-26,2025-01-02,...4...,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2024-12-27,2025-01-03,....5..,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2025-01-13,2025-02-10,1......,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2025-01-07,2025-02-11,.2.....,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2025-01-08,2025-02-12,..3....,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2025-01-09,2025-02-13,...4...,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2025-01-10,2025-02-14,....5..,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2025-02-17,2025-03-24,1......,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2025-02-18,2025-03-25,.2.....,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2025-02-19,2025-03-26,..3....,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2025-02-20,2025-03-27,...4...,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2025-02-21,2025-03-28,....5..,E95,AUA,J
KRK,VIE,OS,598,14:40,15:40,2025-02-15,2025-03-29,.....6.,E95,AUA,J
KRK,VIE,OS,600,07:25,08:25,2024-10-27,2024-10-27,......7,E95,AUA,J
KRK,VIE,OS,600,07:25,08:25,2024-10-28,2025-03-24,1......,E95,AUA,J
KRK,VIE,OS,600,07:25,08:25,2024-10-31,2025-03-27,...4...,E95,AUA,J
KRK,VIE,OS,600,07:25,08:25,2024-11-02,2025-03-29,.....6.,E95,AUA,J
KRK,VIE,OS,600,07:25,08:25,2024-10-29,2024-12-24,.2.....,E95,AUA,J
KRK,VIE,OS,600,07:25,08:25,2024-11-01,2024-12-20,....5..,E95,AUA,J
KRK,VIE,OS,600,07:25,08:25,2024-12-31,2025-03-04,.2.....,E95,AUA,J
KRK,VIE,OS,600,07:25,08:25,2025-03-11,2025-03-25,.2.....,E95,AUA,J
KRK,VIE,OS,600,07:25,08:25,2025-03-07,2025-03-28,....5..,E95,AUA,J
VIE,KRK,OS,597,09:25,10:25,2024-10-27,2024-10-27,......7,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2024-10-28,2024-12-23,1......,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2024-10-30,2024-12-25,..3....,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2024-10-31,2024-12-26,...4...,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2024-11-02,2024-12-21,.....6.,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2024-10-29,2024-12-17,.2.....,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2024-11-01,2024-12-20,....5..,E95,AUA,J
VIE,KRK,OS,597,09:25,10:25,2024-11-03,2025-03-23,......7,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2024-12-27,2025-01-03,....5..,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2024-12-30,2025-02-10,1......,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2025-01-01,2025-02-12,..3....,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2025-01-02,2025-02-13,...4...,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2025-01-07,2025-03-25,.2.....,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2025-01-10,2025-03-28,....5..,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2025-02-17,2025-03-24,1......,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2025-02-19,2025-03-26,..3....,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2025-02-20,2025-03-27,...4...,E95,AUA,J
VIE,KRK,OS,597,13:00,14:00,2025-02-15,2025-03-29,.....6.,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2024-10-28,2024-12-23,1......,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2024-10-30,2024-12-25,..3....,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2024-10-31,2024-12-19,...4...,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2024-11-01,2024-12-20,....5..,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2024-11-03,2024-12-22,......7,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2024-12-30,2025-03-03,1......,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2025-01-01,2025-03-05,..3....,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2024-12-27,2025-02-28,....5..,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2024-12-29,2025-03-02,......7,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2025-03-10,2025-03-24,1......,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2025-03-12,2025-03-26,..3....,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2025-03-06,2025-03-27,...4...,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2025-03-07,2025-03-28,....5..,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2025-03-09,2025-03-23,......7,E95,AUA,J
