Z,Do,Linia,Numer,Odlot,Przylot,Od,Do,Dni,Samolot,Operator,Typ
KRK,VIE,OS,598,14:30,15:30,02-12-2024,23-12-2024,1......,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,03-12-2024,17-12-2024,.2.....,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,04-12-2024,18-12-2024,..3....,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,28-11-2024,19-12-2024,...4...,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,29-11-2024,20-12-2024,....5..,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,30-11-2024,21-12-2024,.....6.,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,30-12-2024,06-01-2025,1......,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,25-12-2024,01-01-2025,..3....,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,26-12-2024,02-01-2025,...4...,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,27-12-2024,03-01-2025,....5..,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,13-01-2025,18-02-2025,1......,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,07-01-2025,17-02-2025,.2.....,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,08-01-2025,16-02-2025,..3....,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,09-01-2025,15-02-2025,...4...,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,10-01-2025,14-02-2025,....5..,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,17-02-2025,03-04-2025,1......,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,18-02-2025,02-04-2025,.2.....,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,19-02-2025,01-04-2025,..3....,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,20-02-2025,31-03-2025,...4...,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,21-02-2025,30-03-2025,....5..,E95,OS,J
KRK,VIE,OS,598,14:30,15:30,15-02-2025,29-03-2025,.....6.,E95,OS,J
KRK,VIE,OS,600,07:25,08:25,02-12-2024,29-12-2024,1......,E95,OS,J
KRK,VIE,OS,600,07:25,08:25,03-12-2024,28-12-2024,.2.....,E95,OS,J
KRK,VIE,OS,600,07:25,08:25,28-11-2024,26-12-2024,...4...,E95,OS,J
KRK,VIE,OS,600,07:25,08:25,29-11-2024,20-12-2024,....5..,E95,OS,J
KRK,VIE,OS,600,07:25,08:25,30-11-2024,21-12-2024,.....6.,E95,OS,J
KRK,VIE,OS,600,07:25,08:25,30-12-2024,09-03-2025,1......,E95,OS,J
KRK,VIE,OS,600,07:25,08:25,31-12-2024,08-03-2025,.2.....,E95,OS,J
KRK,VIE,OS,600,07:25,08:25,02-01-2025,06-03-2025,...4...,E95,OS,J
KRK,VIE,OS,600,07:25,08:25,28-12-2024,01-03-2025,.....6.,E95,OS,J
KRK,VIE,OS,600,07:25,08:25,10-03-2025,03-04-2025,1......,E95,OS,J
KRK,VIE,OS,600,07:25,08:25,11-03-2025,02-04-2025,.2.....,E95,OS,J
KRK,VIE,OS,600,07:25,08:25,13-03-2025,31-03-2025,...4...,E95,OS,J
KRK,VIE,OS,600,07:25,08:25,07-03-2025,30-03-2025,....5..,E95,OS,J
KRK,VIE,OS,600,07:25,08:25,08-03-2025,29-03-2025,.....6.,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,02-12-2024,23-12-2024,1......,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,03-12-2024,17-12-2024,.2.....,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,04-12-2024,18-12-2024,..3....,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,28-11-2024,19-12-2024,...4...,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,29-11-2024,20-12-2024,....5..,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,30-11-2024,21-12-2024,.....6.,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,30-12-2024,06-01-2025,1......,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,25-12-2024,01-01-2025,..3....,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,26-12-2024,02-01-2025,...4...,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,27-12-2024,03-01-2025,....5..,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,13-01-2025,18-02-2025,1......,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,07-01-2025,17-02-2025,.2.....,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,08-01-2025,16-02-2025,..3....,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,09-01-2025,15-02-2025,...4...,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,10-01-2025,14-02-2025,....5..,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,17-02-2025,03-04-2025,1......,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,18-02-2025,02-04-2025,.2.....,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,19-02-2025,01-04-2025,..3....,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,20-02-2025,31-03-2025,...4...,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,21-02-2025,30-03-2025,....5..,E95,OS,J
VIE,KRK,OS,597,12:50,13:50,15-02-2025,29-03-2025,.....6.,E95,OS,J
VIE,KRK,OS,599,22:20,23:20,02-12-2024,27-12-2024,1......,E95,OS,J
VIE,KRK,OS,599,22:20,23:20,04-12-2024,25-12-2024,..3....,E95,OS,J
