Z,Do,Linia,Numer,Odlot,Przylot,Od,Do,Dni,Samolot,Operator,Typ
KRK,ZRH,LX,1371,09:30,11:15,01-04-2024,01-04-2024,1......,E90,2L,J
KRK,ZRH,LX,1371,09:25,11:10,03-04-2024,03-04-2024,..3....,223,BT,J
KRK,ZRH,LX,1371,09:25,11:10,05-04-2024,12-04-2024,....5..,E90,2L,J
KRK,ZRH,LX,1371,09:25,11:10,06-04-2024,06-04-2024,.....6.,223,BT,J
KRK,ZRH,LX,1371,14:55,16:40,07-04-2024,14-04-2024,......7,223,BT,J
KRK,ZRH,LX,1371,09:30,11:15,08-04-2024,08-04-2024,1......,223,BT,J
KRK,ZRH,LX,1371,09:25,11:10,10-04-2024,10-04-2024,..3....,290,2L,J
KRK,ZRH,LX,1371,09:25,11:10,13-04-2024,13-04-2024,.....6.,E90,2L,J
KRK,ZRH,LX,1371,09:30,11:15,15-04-2024,22-04-2024,1......,295,2L,J
KRK,ZRH,LX,1371,09:25,11:10,17-04-2024,23-10-2024,..3....,223,BT,J
KRK,ZRH,LX,1371,09:25,11:10,19-04-2024,26-04-2024,....56.,223,BT,J
KRK,ZRH,LX,1371,14:55,16:40,21-04-2024,21-04-2024,......7,32Q,LX,J
KRK,ZRH,LX,1371,09:25,11:10,27-04-2024,27-04-2024,.....6.,32Q,LX,J
KRK,ZRH,LX,1371,14:55,16:40,28-04-2024,20-10-2024,......7,223,BT,J
KRK,ZRH,LX,1371,09:30,11:15,29-04-2024,29-04-2024,1......,223,BT,J
KRK,ZRH,LX,1371,09:25,11:10,03-05-2024,03-05-2024,....5..,223,LX,J
KRK,ZRH,LX,1371,09:25,11:10,04-05-2024,26-10-2024,....56.,221,LX,J
KRK,ZRH,LX,1371,09:30,11:15,06-05-2024,21-10-2024,1......,295,2L,J
KRK,ZRH,LX,1371,14:40,16:25,27-10-2024,27-11-2024,..3...7,221,LX,J
KRK,ZRH,LX,1371,14:30,16:15,28-10-2024,25-11-2024,1......,223,LX,J
KRK,ZRH,LX,1371,19:45,21:30,31-10-2024,21-11-2024,...4...,295,2L,J
KRK,ZRH,LX,1371,09:40,11:30,01-11-2024,22-11-2024,....5..,320,LX,J
KRK,ZRH,LX,1373,14:50,16:35,02-04-2024,09-04-2024,.2.....,E90,2L,J
KRK,ZRH,LX,1373,20:15,22:00,03-04-2024,03-04-2024,..3....,223,BT,J
KRK,ZRH,LX,1373,14:55,16:40,04-04-2024,18-04-2024,...45..,223,BT,J
KRK,ZRH,LX,1373,20:15,22:00,10-04-2024,10-04-2024,..3....,223,LX,J
KRK,ZRH,LX,1373,14:50,16:35,16-04-2024,16-04-2024,.2.....,295,2L,J
KRK,ZRH,LX,1373,20:15,22:00,17-04-2024,17-04-2024,..3....,290,2L,J
KRK,ZRH,LX,1373,14:55,16:40,19-04-2024,25-04-2024,...45..,295,2L,J
KRK,ZRH,LX,1373,14:50,16:35,23-04-2024,22-10-2024,.2.....,E90,2L,J
KRK,ZRH,LX,1373,20:15,22:00,24-04-2024,24-04-2024,..3....,223,BT,J
KRK,ZRH,LX,1373,14:55,16:40,26-04-2024,26-04-2024,....5..,320,LX,J
KRK,ZRH,LX,1373,20:15,22:00,01-05-2024,01-05-2024,..3....,295,2L,J
KRK,ZRH,LX,1373,14:55,16:40,02-05-2024,24-10-2024,...4...,E90,2L,J
KRK,ZRH,LX,1373,14:55,16:40,03-05-2024,31-05-2024,....5..,223,BT,J
KRK,ZRH,LX,1373,20:15,22:00,08-05-2024,29-05-2024,..3....,223,LX,J
KRK,ZRH,LX,1373,14:55,16:40,07-06-2024,25-10-2024,....5..,223,LX,J
KRK,ZRH,LX,1375,19:30,21:15,01-04-2024,22-04-2024,1......,E90,2L,J
KRK,ZRH,LX,1375,19:30,21:15,29-04-2024,29-04-2024,1......,223,BT,J
KRK,ZRH,LX,1375,19:30,21:15,06-05-2024,21-10-2024,1......,E90,2L,J
KRK,ZRH,LX,8811,12:00,13:45,24-05-2024,24-05-2024,....5..,320,LX,C
ZRH,KRK,LX,1370,07:05,08:45,01-04-2024,01-04-2024,1......,E90,2L,J
ZRH,KRK,LX,1370,06:55,08:35,03-04-2024,03-04-2024,..3....,223,BT,J
ZRH,KRK,LX,1370,07:00,08:40,05-04-2024,12-04-2024,....5..,E90,2L,J
ZRH,KRK,LX,1370,06:55,08:35,06-04-2024,06-04-2024,.....6.,223,BT,J
ZRH,KRK,LX,1370,12:35,14:15,07-04-2024,14-04-2024,......7,223,BT,J
ZRH,KRK,LX,1370,07:05,08:45,08-04-2024,08-04-2024,1......,223,BT,J
ZRH,KRK,LX,1370,06:55,08:35,10-04-2024,10-04-2024,..3....,290,2L,J
ZRH,KRK,LX,1370,06:55,08:35,13-04-2024,13-04-2024,.....6.,E90,2L,J
ZRH,KRK,LX,1370,07:05,08:45,15-04-2024,22-04-2024,1......,295,2L,J
ZRH,KRK,LX,1370,06:55,08:35,17-04-2024,23-10-2024,..3....,223,BT,J
ZRH,KRK,LX,1370,07:00,08:40,19-04-2024,26-04-2024,....5..,223,BT,J
ZRH,KRK,LX,1370,06:55,08:35,20-04-2024,20-04-2024,.....6.,223,BT,J
ZRH,KRK,LX,1370,12:35,14:15,21-04-2024,21-04-2024,......7,32Q,LX,J
ZRH,KRK,LX,1370,06:55,08:35,27-04-2024,27-04-2024,.....6.,32Q,LX,J
ZRH,KRK,LX,1370,12:35,14:15,28-04-2024,20-10-2024,......7,223,BT,J
ZRH,KRK,LX,1370,07:05,08:45,29-04-2024,29-04-2024,1......,223,BT,J
ZRH,KRK,LX,1370,07:00,08:40,03-05-2024,03-05-2024,....5..,223,LX,J
ZRH,KRK,LX,1370,06:55,08:35,04-05-2024,29-06-2024,.....6.,221,LX,J
ZRH,KRK,LX,1370,07:05,08:45,06-05-2024,21-10-2024,1......,295,2L,J
ZRH,KRK,LX,1370,07:00,08:40,10-05-2024,25-10-2024,....5..,221,LX,J
ZRH,KRK,LX,1370,07:00,08:35,06-07-2024,31-08-2024,.....6.,221,LX,J
ZRH,KRK,LX,1370,06:55,08:35,07-09-2024,26-10-2024,.....6.,221,LX,J
ZRH,KRK,LX,1370,12:15,13:55,27-10-2024,24-11-2024,......7,221,LX,J
ZRH,KRK,LX,1370,12:05,13:45,28-10-2024,25-11-2024,1......,223,LX,J
ZRH,KRK,LX,1370,12:05,13:45,30-10-2024,27-11-2024,..3....,221,LX,J
ZRH,KRK,LX,1370,17:15,18:55,31-10-2024,21-11-2024,...4...,295,2L,J
ZRH,KRK,LX,1370,07:05,08:45,01-11-2024,22-11-2024,....5..,320,LX,J
ZRH,KRK,LX,1372,12:25,14:05,02-04-2024,09-04-2024,.2.....,E90,2L,J
ZRH,KRK,LX,1372,17:45,19:25,03-04-2024,03-04-2024,..3....,223,BT,J
ZRH,KRK,LX,1372,12:30,14:10,04-04-2024,18-04-2024,...4...,223,BT,J
ZRH,KRK,LX,1372,12:25,14:05,05-04-2024,12-04-2024,....5..,223,BT,J
ZRH,KRK,LX,1372,17:45,19:25,10-04-2024,10-04-2024,..3....,223,LX,J
ZRH,KRK,LX,1372,12:25,14:05,16-04-2024,19-04-2024,.2..5..,295,2L,J
ZRH,KRK,LX,1372,17:45,19:25,17-04-2024,17-04-2024,..3....,290,2L,J
ZRH,KRK,LX,1372,12:25,14:05,23-04-2024,22-10-2024,.2.....,E90,2L,J
ZRH,KRK,LX,1372,17:45,19:25,24-04-2024,24-04-2024,..3....,223,BT,J
ZRH,KRK,LX,1372,12:30,14:10,25-04-2024,25-04-2024,...4...,295,2L,J
ZRH,KRK,LX,1372,12:25,14:05,26-04-2024,26-04-2024,....5..,320,LX,J
ZRH,KRK,LX,1372,17:45,19:25,01-05-2024,01-05-2024,..3....,295,2L,J
ZRH,KRK,LX,1372,12:30,14:10,02-05-2024,24-10-2024,...4...,E90,2L,J
ZRH,KRK,LX,1372,12:25,14:05,03-05-2024,31-05-2024,....5..,223,BT,J
ZRH,KRK,LX,1372,17:45,19:25,08-05-2024,29-05-2024,..3....,223,LX,J
ZRH,KRK,LX,1372,12:25,14:05,07-06-2024,25-10-2024,....5..,223,LX,J
ZRH,KRK,LX,1374,16:55,18:35,01-04-2024,22-04-2024,1......,E90,2L,J
ZRH,KRK,LX,1374,16:55,18:35,29-04-2024,29-04-2024,1......,223,BT,J
ZRH,KRK,LX,1374,16:55,18:35,06-05-2024,21-10-2024,1......,E90,2L,J
