Z,Do,Linia,Numer,Odlot,Przylot,Od,Do,Dni,Samolot,Operator,Typ
KRK,VIE,OS,598,11:05,12:05,2024-10-27,2025-03-23,......7,E95,AUA,J
KRK,VIE,OS,598,14:30,15:30,2024-10-28,2024-12-23,123456.,E95,AUA,J
KRK,VIE,OS,598,14:30,15:30,2024-12-25,2025-01-06,1.345..,E95,AUA,J
KRK,VIE,OS,598,14:30,15:30,2025-01-07,2025-02-14,12345..,E95,AUA,J
KRK,VIE,OS,598,14:30,15:30,2025-02-15,2025-03-29,123456.,E95,AUA,J
KRK,VIE,OS,600,07:25,08:25,2024-10-27,2024-10-27,......7,E95,AUA,J
KRK,VIE,OS,600,07:25,08:25,2024-10-28,2025-03-29,1..4.6.,E95,AUA,J
KRK,VIE,OS,600,07:25,08:25,2024-10-29,2024-12-24,.2..5..,E95,AUA,J
KRK,VIE,OS,600,07:25,08:25,2024-12-31,2025-03-04,.2.....,E95,AUA,J
KRK,VIE,OS,600,07:25,08:25,2025-03-07,2025-03-28,.2..5..,E95,AUA,J
VIE,KRK,OS,597,09:25,10:25,2024-10-27,2024-10-27,......7,E95,AUA,J
VIE,KRK,OS,597,12:50,13:50,2024-10-28,2024-12-26,1.34.6.,E95,AUA,J
VIE,KRK,OS,597,12:50,13:50,2024-10-29,2024-12-20,.2..5..,E95,AUA,J
VIE,KRK,OS,597,09:25,10:25,2024-11-03,2025-03-23,......7,E95,AUA,J
VIE,KRK,OS,597,12:50,13:50,2024-12-27,2025-01-03,....5..,E95,AUA,J
VIE,KRK,OS,597,12:50,13:50,2024-12-30,2025-02-13,1.34...,E95,AUA,J
VIE,KRK,OS,597,12:50,13:50,2025-01-07,2025-03-28,.2..5..,E95,AUA,J
VIE,KRK,OS,597,12:50,13:50,2025-02-15,2025-03-29,1.34.6.,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2024-10-27,2024-12-25,1.345.7,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2024-12-27,2025-03-05,1.3.5.7,E95,AUA,J
VIE,KRK,OS,599,22:20,23:20,2025-03-06,2025-03-28,1.345.7,E95,AUA,J
